Timestamp,RD13,RD212,RD36,RD415,RD515
1,-1.516378855,-1.65462228,0.000836151,-0.03169079,0.130648119
2,-2.457897695,-2.468531404,-5.90636E-05,-0.003388594,-0.1089579
3,-2.394432323,-2.460916184,0.000822922,-0.565783587,-0.093097905
4,-2.406428166,-2.460916184,0.001581896,-1.233648833,-0.098545227
5,-2.436177617,-2.460916184,0.002880134,-3.266739465,-0.052892799
6,-2.407972855,-2.460916184,-0.029664376,-3.271326929,-0.189017032
7,-2.394205495,-2.460916184,0.001471849,-3.328469998,-0.037029698
8,-2.320598124,-2.460916184,-0.120322151,-3.33546857,-0.54576899
9,-2.248855607,-2.460916184,-0.001257939,-3.345920621,-0.039105761
10,-2.218408219,-2.460916184,-0.001761518,-3.336595385,-0.032020883
11,-2.183883327,-2.460916184,-0.001977772,-3.318014278,-0.057831825
12,-2.146146267,-2.460916184,-0.001765293,-3.300592884,-0.072289937
13,-2.125229754,-2.460916184,-0.0019231,-3.294264032,-0.030869686
14,-2.111597937,-2.460916184,-0.002842213,-3.290863524,-0.336752496
15,-2.077219591,-2.460916184,-0.003695993,-3.282537259,-0.334144041
16,-2.260971944,-2.460916184,-0.003630591,-3.270019548,-3.478462358
17,-2.530968476,-2.460916184,-0.002987676,-3.272493019,-3.542727275
18,-2.54735546,-2.460916184,-0.003327725,-3.268454088,-3.410678761
19,-2.599865478,-2.460916184,-0.002210082,-3.268400954,-3.839641984
20,-2.629674941,-2.460916184,-0.001542117,-3.268524976,-4.38567764
21,-2.660391621,-2.460916184,-0.001182459,-3.268587086,-4.284687148
22,-2.651821164,-2.460916184,-0.000185281,-3.268507286,-4.607886667
23,-2.622083639,-2.460916184,0.000512542,-3.268285568,-3.93010875
24,-2.5951068,-2.460916184,0.001187616,-3.268275628,-3.468199295
25,-2.79056791,-2.460916184,0.001870537,-3.264736616,-3.164855846
26,-1.821016314,-2.460916184,0.002562832,-3.260932012,-2.39670965
27,-1.80772091,-2.460916184,0.003182906,-3.250060459,-2.369556119
28,-1.818181518,-2.460916184,0.002432364,-3.182955802,-2.358912882
29,-0.092208019,-2.460916184,0.002622877,-3.200478994,-2.40113721
30,1.713078827,-2.460916184,0.002710152,-3.201976419,-2.43405835
31,0.596458786,-2.460916184,0.003046475,-3.223705528,-2.572184803
32,-5.532028768,-2.460916184,0.004573269,-3.267803173,-2.495356106
33,-5.532028768,-2.460916184,0.000540372,-3.330115306,-2.445072169
34,-5.532028768,-2.460916184,-0.002275076,-3.257597816,-2.460726949
35,-5.532028768,-2.460916184,-0.002249376,-3.271133877,-2.441767038
36,-5.532028768,-2.460916184,-0.002113382,-3.272083617,-2.534225294
37,-5.532028768,-2.460916184,-0.002764201,-3.269053145,-2.425403299
38,-5.532028768,-2.460916184,-0.003727813,-3.27256327,-2.351106363
39,-5.532028768,-2.460916184,-0.009726348,-3.282132766,-2.554238893
40,-5.532028768,-2.460916184,-0.012139869,-3.274543295,-2.67734275
41,-5.532028768,-2.460916184,-0.011975868,-3.276536748,-2.62850411
42,-5.532028768,-2.460916184,-0.011906723,-3.278428375,-2.749410819
43,-5.532028768,-2.460916184,-0.011908358,-3.290459389,-2.95210745
44,-5.532028768,-2.460916184,-0.011552725,-3.293611091,-2.945003719
45,-5.532028768,-2.460916184,-0.011306004,-3.298347998,-2.938296494
