Timestamp,RD13,Bore Hole,Meter
1,1,1,3
2,2,1,3
3,3,1,3
4,4,1,3
5,5,1,3
6,6,1,3
7,7,1,3
8,8,1,3
9,9,1,3
10,10,1,3
11,11,1,3
12,12,1,3
13,13,1,3
14,14,1,3
15,15,1,3
16,16,1,3
17,17,1,3
18,18,1,3
19,19,1,3
20,20,1,3
21,21,1,3
22,22,1,3
23,23,1,3
24,24,1,3
25,25,1,3
26,26,1,3
27,27,1,3
28,28,1,3
29,29,1,3
30,30,1,3
31,31,1,3
32,32,1,3
33,33,1,3
34,34,1,3
35,35,1,3
36,36,1,3
37,37,1,3
38,38,1,3
39,39,1,3
40,40,1,3
41,41,1,3
42,42,1,3
43,43,1,3
44,44,1,3
45,45,1,3
46,46,1,3
47,47,1,3
48,48,1,3
49,49,1,3
50,50,1,3
51,51,1,3
52,52,1,3
53,53,1,3
54,54,1,3
55,55,1,3
56,56,1,3
57,57,1,3
58,58,1,3
59,59,1,3
60,60,1,3
61,61,1,3
62,62,1,3
63,63,1,3
64,64,1,3
65,65,1,3
66,66,1,3
67,67,1,3
68,68,1,3
69,69,1,3
70,70,1,3
71,71,1,3
72,72,1,3
73,73,1,3
74,74,1,3
75,75,1,3
76,76,1,3
77,77,1,3
78,78,1,3
